stop_id,stop_name,stop_lat,stop_lon,stop_code
110,Muzeum II Wojny Światowej 02,54.357652042573,18.658762469243,110
114,Wrzeszcz PKP 03,54.381309866159,18.604544291995,114
116,Wrzeszcz PKP 05,54.38130968393,18.604082272267,116
117,Oliwa PKP 04,54.411139542445,18.57221153255,117
121,Żabianka SKM 02,54.421120079417,18.570064371155,121
134,Chełm Cienista 02,54.33770770484,18.62631189822,134
151,Suchanino 01,54.354108692995,18.607374322207,151
160,Galaktyczna 01,54.428123736317,18.486218293783,160
183,Kampinoska 01,54.316288027813,18.60329664045,183
184,Olimpijska 01,54.305623231915,18.58110341694,184
188,Politechnika SKM 01,54.373945269957,18.62628436854,188
201,Jelitkowo 02,54.423227563447,18.592694866784,201
221,Łostowice Świętokrzyska 01,54.322493962357,18.605703925732,221
292,Zajezdnia NOWY PORT T1,54.397144747453,18.673676167342,292
300,Baza Hallera T1,54.397216624219,18.621550824037,300
313,Wrzeszcz PKP 06,54.381765804908,18.603963286819,313
320,Oliwa Pętla Tramwajowa 09,54.409652629157,18.567568008085,320
342,Górki Wschodnie 02,54.350810691663,18.79079053223,342
1011,Plac Komorowskiego 03,54.382560207042,18.615021446904,1011
1013,Dworzec Główny 18,54.354833361323,18.645117144898,1013
1016,Dworzec Główny 07,54.355062678601,18.645812012175,1016
1021,Dworzec Główny 08,54.356269249753,18.645450557919,1021
1028,Brama Wyżynna 05,54.350370743771,18.646311182071,1028
1032,Cygańska Góra 04,54.359085818568,18.618567875494,1032
1041,Długie Ogrody 01,54.347769298017,18.663710164393,1041
1053,Sówki 01,54.361413147893,18.729495932592,1053
1055,Steczka 01,54.359618937385,18.740708257105,1055
1056,Sówki 02,54.361452227347,18.730617474992,1056
1060,Kępna 02,54.359011996083,18.747190896861,1060
1062,Baza Manipulacyjna 02,54.353791252184,18.757926573979,1062
1070,Sucharskiego - PKP 02,54.371826052906,18.683299608698,1070
1080,Przystań Żeglugi 02,54.402959708796,18.682484392498,1080
1081,Ku Ujściu 03,54.380214830033,18.680563174241,1081
1082,Ku Ujściu 04,54.378180853651,18.678106165403,1082
1085,Brodnicka 01,54.345737528041,18.476709566675,1085
1086,Brodnicka 02,54.345503439419,18.476693137845,1086
1090,Siennicka 02,54.356773752656,18.679375599717,1090
1102,Miałki Szlak 01,54.349290630938,18.680120604151,1102
1106,Tarcice 01,54.352332417978,18.70851272745,1106
1108,Michałki 01,54.34719964854,18.718015736464,1108
1110,Rafineria 01,54.344036766024,18.721899207542,1110
1111,Rafineria 02,54.343165142854,18.723347583482,1111
1112,Rejenta 02,54.342251484879,18.605586134944,1112
1115,Zosi 01,54.343474502954,18.61059267042,1115
1117,Świtezianki 02,54.345886488012,18.613453298838,1117
1129,Olsztyńska 04,54.405539886112,18.604210349256,1129
1134,Pole Namiotowe 01,54.342390291996,18.86483196884,1134
1136,Lazurowa 01,54.341660596003,18.872885526465,1136
1137,Lazurowa 02,54.341346717195,18.873947927568,1137
1145,Kempingowa 02,54.336643248705,18.915033400124,1145
1150,Świbnieńska I 01,54.329590765718,18.933031826003,1150
1154,Świbnieńska III 01,54.31492373343,18.93061538767,1154
1160,Oczyszczalnia 01,54.342168882803,18.757990127564,1160
1163,Naftowa 02,54.342931652688,18.770042064783,1163
1164,Płońska 01,54.347049574908,18.773973694551,1164
1165,Płońska 02,54.346960052472,18.773993922122,1165
1166,Zagroble 01,54.346931405588,18.78513604449,1166
1174,Jodowa 01,54.345856958455,18.820414806785,1174
1179,Nadwiślańska 02,54.348947217749,18.803939743633,1179
1180,Ornitologów 01,54.349093876975,18.798669132762,1180
1183,Sierpowa 01,54.337864434021,18.674041239204,1183
1184,Bratki 01,54.334633707825,18.671070101267,1184
1190,Muzeum Narodowe 01,54.344770080855,18.648154681011,1190
1192,Dolna 01,54.343342643399,18.658883754819,1192
1193,Wróbla 01,54.340500281767,18.657876043134,1193
1196,Brama Nizinna 01,54.340541771181,18.647996142303,1196
1201,Zaroślak 02,54.341825629439,18.642383822054,1201
1208,Rejtana 01 ,54.328411310578,18.634045912892,1208
1209,Rejtana 02,54.328150532962,18.633584077135,1209
1211,Gościnna 02,54.323234046351,18.63134424309,1211
1212,Nowiny 01,54.319258513085,18.630327143837,1212
1218,Niegowska 01,54.301408554252,18.6314451557,1218
1219,Węzeł Lipce 02,54.298041569793,18.632576070243,1219
1228,Ptasia 01,54.330170108662,18.626561648344,1228
1235,Dom Pomocy Społecznej 02,54.310011549309,18.619558588978,1235
1237,Zaroślak 04,54.341836645182,18.641567728016,1237
1238,Cmentarna 01,54.340786011105,18.635658239945,1238
1239,Stoczniowców 02,54.343254313617,18.631792940587,1239
1241,Wronki 01,54.342250971339,18.628311796378,1241
1243,Grabowskiego 01,54.341584573239,18.620949478874,1243
1245,Dragana - Szkoła 01,54.339381993367,18.605952987211,1245
1260,Urząd Miejski 02,54.351356244063,18.639237149283,1260
1263,Zakopiańska 03,54.348996042997,18.617043309006,1263
1267,Zielony Stok 02,54.346060084635,18.598193917179,1267
1269,Pagórkowa 02,54.345010412038,18.590638358245,1269
1270,Myśliwska 01,54.344144618314,18.581964500066,1270
1272,Lipowa 01,54.339456289899,18.576362557223,1272
1273,Lipowa 02,54.339972127693,18.576532211246,1273
1278,Jasień Działki 01,54.344322258432,18.542270174016,1278
1279,Jasień Działki 02,54.344624834467,18.541236536762,1279
1281,Węzeł Karczemki 02,54.347322329897,18.528502994338,1281
1283,Karczemki 02,54.35038362156,18.509497535855,1283
1286,Fabryczna 01,54.35306668633,18.494929387736,1286
